time_s,pga_gal,mmi,category,vibration_detected
205.28,70.15,VII,Very Strong,1
205.38,68.83,VII,Very Strong,1
205.5,49.58,VI,Strong,1
205.61,25.04,VI,Strong,1
205.72,1.53,II,Very Weak,0
205.84,17.02,V,Moderate,1
205.95,16.68,V,Moderate,1
206.06,21.47,V,Moderate,1
206.17,22.08,V,Moderate,1
206.29,34.15,VI,Strong,1
206.4,44.35,VI,Strong,1
206.51,57.35,VII,Very Strong,1
206.62,18.4,V,Moderate,1
206.73,12.33,V,Moderate,1
206.85,23.69,V,Moderate,1
206.96,1.51,II,Very Weak,0
207.07,27.71,VI,Strong,1
207.18,19.56,V,Moderate,1
207.3,15.83,V,Moderate,1
207.4,35.29,VI,Strong,1
207.52,37.91,VI,Strong,1
207.63,29.72,VI,Strong,1
207.74,36.03,VI,Strong,1
207.86,7.14,IV,Light,1
207.97,14.37,V,Moderate,1
208.08,14.04,V,Moderate,1
208.19,47.73,VI,Strong,1
208.31,22.67,V,Moderate,1
208.42,18.98,V,Moderate,1
208.53,8.59,IV,Light,1
208.64,1.64,II,Very Weak,0
208.75,8.64,IV,Light,1
208.86,4.69,III,Weak,0
208.97,19.27,V,Moderate,1
209.08,17.93,V,Moderate,1
209.19,9.75,IV,Light,1
209.3,2.34,III,Weak,0
209.41,4.94,III,Weak,0
209.52,7.84,IV,Light,1
209.64,18.9,V,Moderate,1
209.75,4.37,III,Weak,0
209.86,33.78,VI,Strong,1
209.97,26.14,VI,Strong,1
210.08,27.06,VI,Strong,1
210.2,2.72,III,Weak,0
210.31,17.55,V,Moderate,1
210.43,32.84,VI,Strong,1
210.54,42.17,VI,Strong,1
210.65,20.86,V,Moderate,1
210.77,52.68,VII,Very Strong,1
210.88,11.67,V,Moderate,1
210.98,7.01,IV,Light,1
211.1,17.53,V,Moderate,1
211.21,42.54,VI,Strong,1
211.33,29.49,VI,Strong,1
211.43,6.05,IV,Light,1
211.55,28.54,VI,Strong,1
211.66,64.94,VII,Very Strong,1
211.76,28.41,VI,Strong,1
211.87,27.22,VI,Strong,1
211.98,26.25,VI,Strong,1
212.09,48.21,VI,Strong,1
212.21,41.6,VI,Strong,1
212.32,26.01,VI,Strong,1
212.43,23.05,V,Moderate,1
212.55,27.52,VI,Strong,1
212.7,4.9,III,Weak,0
212.81,10.0,V,Moderate,1
212.92,0.97,I,Instrumental,0
213.04,0.64,I,Instrumental,0
213.16,10.37,V,Moderate,1
213.27,20.05,V,Moderate,1
213.38,1.98,II,Very Weak,0
213.48,2.49,III,Weak,0
213.6,4.8,III,Weak,0
213.71,4.77,III,Weak,0
213.82,16.05,V,Moderate,1
213.93,30.29,VI,Strong,1
214.05,8.82,IV,Light,1
214.16,0.61,I,Instrumental,0
214.27,15.8,V,Moderate,1
214.39,8.26,IV,Light,1
214.49,7.1,IV,Light,1
214.61,0.44,I,Instrumental,0
214.73,27.52,VI,Strong,1
214.84,66.38,VII,Very Strong,1
214.95,51.9,VII,Very Strong,1
215.07,22.72,V,Moderate,1
215.18,10.97,V,Moderate,1
215.3,13.49,V,Moderate,1
215.41,14.43,V,Moderate,1
215.52,65.59,VII,Very Strong,1
215.63,6.47,IV,Light,1
215.75,9.94,IV,Light,1
215.86,18.6,V,Moderate,1
215.97,110.56,VIII,Severe,1
216.09,39.37,VI,Strong,1
216.2,37.72,VI,Strong,1
216.32,14.88,V,Moderate,1
216.43,2.82,III,Weak,0
216.55,11.26,V,Moderate,1
216.66,12.53,V,Moderate,1
216.77,13.7,V,Moderate,1
216.88,11.06,V,Moderate,1
216.99,5.17,IV,Light,1
217.1,31.85,VI,Strong,1
217.21,83.38,VII,Very Strong,1
217.32,23.5,V,Moderate,1
217.44,20.26,V,Moderate,1
217.55,9.2,IV,Light,1
217.66,21.71,V,Moderate,1
217.77,65.62,VII,Very Strong,1
217.87,23.63,V,Moderate,1
